    TM-score	P-value
ABCB4	0.0182	0.53067672252655
ABCC2	0.0183	0.567157983779907
ABCC5	0.0267	0.457992136478424
ACE	0.1212	0.614067733287811
ACE2	0.0466	0.538308620452881
ACVRL1	0.0224	0.596362352371216
ADM	0.0131	0.465370893478394
AGT	0.0034	0.567394852638245
AKAP10	0.0401	0.465901136398315
ANGPT1	0.0136	0.579441905021667
ANIB4	0.0584	0.478756189346313
APC	0.0076	0.514487743377686
APOB	0.0168	0.632625102996826
APOC3	0.0157	0.611512720584869
APOE	0.1932	0.370945274829865
APP	0.0104	0.466269850730896
B2M	0.0044	0.427313327789307
C2	0.0176	0.6115562915802
C3	0.0033	0.503022432327271
C4B	0.0145	0.497245728969574
CASP1	0.0106	0.486540198326111
CASP3	-0.0003	0.427890300750732
CBS	0.0174	0.493753492832184
CCL2	0.0048	0.51086163520813
CD44	0.0060	0.508409738540649
CDKN2A	0.0086	0.526720881462097
CFB	0.0145	0.559831976890564
COL1A1	0.0165	0.556734323501587
COL1A2	0.1708	0.561674833297729
COL3A1	0.2511	0.514905691146851
COL4A1	0.0719	0.535871386528015
COL4A3	0.0255	0.650193989276886
COL4A4	0.0314	0.59718656539917
COL4A5	0.0256	0.533250331878662
COL6A1	0.0288	0.578280925750732
COL6A2	0.0326	0.547068953514099
COPS3	0.0399	0.439695954322815
CST3	0.0891	0.441811561584473
CST6	0.0069	0.559486985206604
CTSB	0.0281	0.485677778720856
CTSG	0.0151	0.608617186546326
CTSK	0.0179	0.512207806110382
CTSS	0.0190	0.476010501384735
CXCL14	0.0332	0.514695405960083
CYBA	0.0214	0.447630941867828
DARC	0.0148	0.607385277748108
DHFR	0.0081	0.445987522602081
ECE1	0.0179	0.348796486854553
ECE2	0.0354	0.613322973251343
EDN1	0.0115	0.52042019367218
EDNRB	0.0156	0.544906675815582
ELN	0.5163	0.42479145526886
ENG	0.1333	0.526526868343353
F12	0.0119	0.48824143409729
F5	0.0284	0.560397863388062
FBN1	0.0181	0.531500935554504
FBN2	0.0684	0.566963851451874
FGD1	0.0210	0.564878344535828
FGF1	0.0119	0.574981868267059
FGF12	0.0401	0.610102653503418
FGF2	0.0469	0.547477960586548
FN1	0.0276	0.503057956695557
FOLR1	0.0172	0.529832601547241
FOXD3	0.0175	0.548991739749908
GAA	0.0187	0.456465899944305
GAPDH	0.0071	0.451093316078186
